action_id,run_id,action_type,status,proposed_epoch,expiration_epoch,bot_recommendation,bot_score,bot_confidence,network_majority,network_agreement,top10_majority,top10_agreement,actual_drep_yes_pct,actual_drep_no_pct,actual_drep_abstain_pct,top10_vote_counts_json,explain_hash,input_hash,snapshot_bundle_hash,soul_commit,resource_registry_commit,anchor_url
gov_action10k0unljvaej0kd89w7pn0zkgdx59c7xkl0x5q78dzvdtd73u0kmqq5xl5y5,gov_action10k0unljvaej0kd89w7pn0zkgdx59c7xkl0x5q78dzvdtd73u0kmqq5xl5y5-5fca6f5e1004,InfoAction,expired,554,561,YES,0.4,0.92,YES,aligned,UNKNOWN,unknown,213.0,85.0,11.0,{},3d94feca47a97762cfebd7b98a39edfd7e9d4cffd9581c04e03c2bd04fc6f843,,,,,https://most-brass-sun.quicknode-ipfs.com/ipfs/QmRrGsZsP5R7cFYFzPXQ9vS2Ux7oTXb1ep1EciLdKqeDWY
gov_action10lty9xka3unprtvdfrqvcjgsz33sjwhv9p06afqzar8au782trtsq7dhd95,gov_action10lty9xka3unprtvdfrqvcjgsz33sjwhv9p06afqzar8au782trtsq7dhd95-bc7fc1aede97,InfoAction,expired,514,521,YES,0.29,0.81,YES,aligned,UNKNOWN,unknown,88.0,54.0,22.0,{},02594b1922ba9a64d79a7fdce3a3f541ba7a00c77e7353b12c9d43414bbf702d,,,,,https://raw.githubusercontent.com/bigpey/CardanoGovernance/refs/heads/main/infoAction3.jsonld
gov_action10ueqgzwenxr39le68n0se9peu92r7gm2846xwehh3u0ahc0qd0uqqyljxu5,gov_action10ueqgzwenxr39le68n0se9peu92r7gm2846xwehh3u0ahc0qd0uqqyljxu5-b678c497af01,InfoAction,expired,546,553,NO,-0.0233,0.5433,YES,diverged,UNKNOWN,unknown,138.0,112.0,14.0,{},e3a8642afe1bb9a99fcc2f5dc83ff4329eb061ba21090d4f0a45fc1c1970e166,,,,,https://raw.githubusercontent.com/blockchainada/ga/refs/heads/main/ga01.jsonld
gov_action1286ft23r7jem825s4l0y5rn8sgam0tz2ce04l7a38qmnhp3l9a6qqn850dw,gov_action1286ft23r7jem825s4l0y5rn8sgam0tz2ce04l7a38qmnhp3l9a6qqn850dw-6e1bb0a558ba,ParameterChange,expired,518,525,NO,-0.3833,0.9033,UNKNOWN,unknown,UNKNOWN,unknown,0.0,0.0,0.0,{},78e2407c2c2f78922fe967dcdafc13be5f0a383508137355be5f86aaad353bc3,,,,,https://raw.githubusercontent.com/IntersectMBO/governance-actions/refs/heads/main/mainnet/2024-10-21-ppu/metadata.jsonld
gov_action12meeq4r43udremwpm6fzt4nt7fctvt0ah7798x036m2r4nhlccmqqhmr9wx,gov_action12meeq4r43udremwpm6fzt4nt7fctvt0ah7798x036m2r4nhlccmqqhmr9wx-cb5ae16aaf36,InfoAction,expired,542,549,YES,0.5,1.0,YES,aligned,UNKNOWN,unknown,243.0,9.0,21.0,{},ce2c4b432df090a6851a43f5015605c2a2519a0795c4799ec984ccd708fc9343,,,,,ipfs://bafkreiada4nn5eaezg43esieduks6l57vzkjdo2yfby7yxv6jrat7ilrdq
gov_action133jnaewfsq8x6v08ndd87l2yqryp63r30t2dkceacxx5cply5n7sqzlcyqf,gov_action133jnaewfsq8x6v08ndd87l2yqryp63r30t2dkceacxx5cply5n7sqzlcyqf-8b0957e68aca,NewConstitution,ratified,537,544,YES,0.4,0.92,YES,aligned,UNKNOWN,unknown,385.0,22.0,6.0,{},08dacf6f7ad46ce60bf12dfb11e3f286a43fb1f5b40ab07f736fa718d523a199,,,,,ipfs://bafkreiehcekhhsq34ccezwn46brg3euj6tbs4g4yjkav34ukqvbnzaya2a
gov_action13836fuy3yttxn4hkeqka398q9qnwsjtmul4sxc3nht7qae8uvejsqm7ukh8,gov_action13836fuy3yttxn4hkeqka398q9qnwsjtmul4sxc3nht7qae8uvejsqm7ukh8-f725c21f27fc,InfoAction,expired,579,586,NO,-0.4,0.95,NO,aligned,UNKNOWN,unknown,47.0,94.0,33.0,{},6a13d14121eb04ba334b7ad3afbae772595d72f7d50390df078a537974228c04,,,,,https://most-brass-sun.quicknode-ipfs.com/ipfs/QmTRrewK9MzARcCSYNFwmqizjFpMRK2kZhe9R6NJU4XHwJ
gov_action13a2dqgwxum7d6kjfprcs57cf9733ek2dkt5qnuhqd4ll5ntcwu7sqluwkxd,gov_action13a2dqgwxum7d6kjfprcs57cf9733ek2dkt5qnuhqd4ll5ntcwu7sqluwkxd-a29adca6643f,InfoAction,expired,597,604,YES,0.4,0.92,YES,aligned,UNKNOWN,unknown,267.0,10.0,7.0,{},79d269afff10742a7a1ea66770bfa36e8c55fcb4fd25f2e222ff9164de5254a0,,,,,ipfs://bafkreicbxui5lbdrgcpjwhlti3rqkxfnd3vveiinkcu2zak5bny435w4yq
gov_action13pzmlsmmktmfareqpl3gzj9nm63ugwvmp3y7urkjhd8rf89tn6msq95mp3f,gov_action13pzmlsmmktmfareqpl3gzj9nm63ugwvmp3y7urkjhd8rf89tn6msq95mp3f-6f979f1c29d9,InfoAction,active,606,613,YES,0.5,1.0,YES,aligned,UNKNOWN,unknown,198.0,2.0,10.0,{},a8422b4f03758e886580a1f5c0c174515765f093e45c69608408fb7c7d840aca,,,,,ipfs://bafkreiaaevieqcufh6or65xtva2r2txy2tre45p4vlesfz5l3l5kpd6djm
gov_action13qr78nhrhetywapvx2wpm63y9uxpc2dc45zsu9gkncasxqhuhltqqqfu32x,gov_action13qr78nhrhetywapvx2wpm63y9uxpc2dc45zsu9gkncasxqhuhltqqqfu32x-68d5fc53b7f3,TreasuryWithdrawals,active,618,625,NO,-0.1233,0.6433,YES,diverged,UNKNOWN,unknown,47.0,26.0,5.0,{},0a6f70c0646f4f6851129ea0ddb8d624855883faa80f79638540ff8ae5ba9120,,,,,ipfs://QmPXYnQ65EuKCVPrWfDqFZmiF8Y4PzxZ87XrGs6UaMkNru
